"wd16cd","wd16nm","mean_no2_2013","mean_pm25_2013","mean_no2_2020","mean_pm25_2020"
"E05000590","Cann Hall",35.8655803881756,15.9792880619981,29.8609415390179,14.4817366130104
"E05000591","Cathall",40.5927993329007,16.4497863977867,33.5393702684823,14.8699847025611
"E05000592","Chapel End",36.8859232977655,15.9649020949161,30.3107172780852,14.419723237736
"E05000593","Chingford Green",27.8398129633269,14.9835771718083,23.391885333591,13.6079284541996
"E05000594","Endlebury",30.4386238150756,15.2450381322573,25.5453243255615,13.8378596616017
"E05000595","Forest",35.5200100874829,15.9307190819514,29.2669493251483,14.4273350729985
"E05000596","Grove Green",38.7015968662525,16.2834573806646,32.001668314005,14.7307939254857
"E05000597","Hale End and Highams Park",34.9110241431779,15.7798767399531,28.7485657158804,14.2478195994639
"E05000598","Hatch Lane",30.0737173040873,15.2431128776519,25.3439901869525,13.8322800827026
"E05000599","High Street",33.5986444410779,15.6956806006806,27.9113529513295,14.209670362656
"E05000600","Higham Hill",33.0699800499431,15.6038688017534,27.4666268182444,14.1429136217415
"E05000601","Hoe Street",35.9970740092884,15.9532249457619,29.8421813430786,14.4607870150479
"E05000602","Larkswood",31.8029650934055,15.4495850147591,26.5926318896706,13.9960419299476
"E05000603","Lea Bridge",35.4730128175277,15.9154274534813,28.9491972720583,14.4036650219199
"E05000604","Leyton",37.1196166181986,16.1002108942443,30.57653700867,14.5653895289028
"E05000605","Leytonstone",41.312587300036,16.4951146462178,33.6298416696001,14.8997087615878
"E05000606","Markhouse",33.9587328121158,15.8033540886517,28.2251457265474,14.3236047160619
"E05000607","Valley",36.7079029848948,15.8641399468154,30.1093331792181,14.3518932739543
"E05000608","William Morris",34.8506210423914,15.7773151753018,29.1445830251034,14.2966542378145
"E05000609","Wood Street",34.3626609455981,15.7933784673697,28.6126427109155,14.3106185191632
